cycle,year,V_total,U_circ,D_total,ratio_D_V,kappa,eta_global,V_ON,gini,top10_share,top20_share,median_wealth,mean_wealth,eta_mean,eta_std,population,entreprises,age_median,age_mean,deaths,births,RU_total,U_burn,V_burned,V_salaries,staking_volume,r_ic,nu_eff,tau_eng,D_materiel,D_services,D_contractuel,D_engagement,D_regulateur
30,2,30121.61897674325,0.0,22861.133962377487,0.5614360037206948,2.0,2.0,40719.03798629652,0.5098746691747251,0.3421762331881622,0.663648443094024,3.2458874015599792,7.464461811230471,0.8334014967458093,0.09142122232646231,4069,1219,45.0,44.64856230031949,0,0,67822.21380517412,334.09606833761836,393.1998916238661,262.13326108257735,0,0.0,0.014744724817523435,0.0,22781.935349605774,0.0,0.0,0.0,79.1986127717137
31,2,30391.176734991608,0.0,22837.320433574238,0.5531304584202604,2.0,2.0,41287.403515614715,0.50595422320535,0.3399232815481671,0.6591284435356223,3.4208867212175247,7.535363228478141,0.8334014967458093,0.09142122232646231,4069,1219,45.0,44.64856230031949,0,0,67822.21380517412,424.09606833761836,404.3366373725586,269.55775824837247,0,0.0,0.011459487033633258,0.0,22758.204318829503,0.0,0.0,0.0,79.1161147447339
32,2,30637.98166892877,0.0,22813.5317103714,0.5431323940207531,2.0,2.0,42003.6292467941,0.502420535627959,0.3380849122387602,0.655200639828369,3.5164333436722788,7.5980825382880415,0.8334014967458093,0.09142122232646231,4069,1219,45.0,44.64856230031949,0,0,67822.21380517412,264.0960683376183,370.20740090573224,246.8049339371549,0,0.0,0.014229272950810758,0.0,22734.49800771875,0.0,0.0,0.0,79.0337026526489
33,2,30897.37659930938,0.0,22789.767766929974,0.5365872377293209,2.0,2.0,42471.69176697075,0.4988816647867038,0.33639695470620856,0.6513215393562244,3.5911316002741156,7.663705295581087,0.8334014967458093,0.09142122232646231,4069,1219,45.0,44.64856230031949,0,0,67822.21380517412,334.0960683376184,389.09239557099613,259.39493038066433,0,0.0,0.00892386533990737,0.0,22710.81639052403,0.0,0.0,0.0,78.95137640594373
34,2,31150.76093355727,0.0,22766.02857743787,0.5289346198871969,2.0,2.0,43041.29040049045,0.49582007342453904,0.33473565943342043,0.6476284987066648,3.666554928808059,7.7279494652707195,0.8334014967458093,0.09142122232646231,4069,1219,45.0,44.64856230031949,0,0,67822.21380517412,304.0960683376184,380.0765013717986,253.3843342478655,0,0.0,0.011048072039240743,0.0,22687.159441522675,0.0,0.0,0.0,78.86913591519671
35,2,31405.06590218303,0.0,22745.631338238374,0.5220045239277089,2.0,2.0,43573.62876301118,0.4926960842824648,0.33312050436573026,0.644078063269103,3.7028164842745603,7.794714508813233,0.8334364240758582,0.09141415639378607,4069,1218,45.0,44.63701155074957,1,1,67822.21380517412,314.09606833761836,386.43847466236014,257.625649774907,0,0.0,0.009920400738601384,0.0,22663.527135018816,0.0,0.0,0.0,82.10420321955935
36,3,31697.896849782188,0.0,22725.175161145766,0.5153769692609625,2.0,2.0,44094.2776192213,0.48913233546122825,0.33119702169321413,0.6399817759704378,3.740506370146911,7.869319473975828,0.8334707499388354,0.0914240370333529,4069,1218,46.0,45.63332514131236,1,1,67825.05619129348,364.09606833761836,444.10704038186844,296.0713602545789,0,0.0,0.010131273728360557,0.0,22639.919445343352,0.0,0.0,0.0,85.25571580241323
37,3,31992.990488371088,0.0,22701.503255187403,0.5087117443571926,2.0,2.0,44625.47504947618,0.48532888894315174,0.32915003777898727,0.635727764976425,3.784325482248401,7.945504769735584,0.8334707499388354,0.0914240370333529,4069,1218,46.0,45.63332514131236,0,0,67827.84963002257,414.09606833761836,442.6404578833443,295.0936385888961,0,0.0,0.011480093164116884,0.0,22616.336346853914,0.0,0.0,0.0,85.16690833349048
38,3,32275.367738516532,0.0,22677.856007306604,0.5007527974368291,2.0,2.0,45287.52734560101,0.48143222688317056,0.3270356246349388,0.6315938808261339,3.8372484417392996,8.017927678853216,0.8334707499388354,0.0914240370333529,4069,1218,46.0,45.63332514131236,0,0,67827.84963002257,334.09606833761836,423.565875218276,282.3772501455172,0,0.0,0.012870981775698663,0.0,22592.77781393485,0.0,0.0,0.0,85.07819337175582
39,3,32590.03491274713,0.0,22656.893537684096,0.4944332308852433,2.0,2.0,45823.96999715964,0.477787481742479,0.32480129479141157,0.6272749503681081,3.9650463211890496,8.101636459220336,0.8334415318580273,0.09141983578873131,4069,1219,46.0,45.625952322437946,1,1,67827.84963002257,374.0960683376184,475.9951409304351,317.3300939536234,0,0.0,0.010347125916005232,0.0,22569.243820997184,0.0,0.0,0.0,87.64971668691287
